LA Code,Local Authority,2016
E09000001,City of London,168
E09000002,Barking and Dagenham,770
E09000003,Barnet,1911
E09000004,Bexley,1179
E09000005,Brent,987
E09000006,Bromley,1418
E09000007,Camden,470
E09000008,Croydon,1359
E09000009,Ealing,1318
E09000010,Enfield,1921
E09000011,Greenwich,1161
E09000012,Hackney,522
E09000013,Hammersmith and Fulham,560
E09000014,Haringey,608
E09000015,Harrow,828
E09000016,Havering,1727
E09000017,Hillingdon,2433
E09000018,Hounslow,1645
E09000019,Islington,429
E09000020,Kensington and Chelsea,533
E09000021,Kingston upon Thames,1001
E09000022,Lambeth,809
E09000023,Lewisham,891
E09000024,Merton,645
E09000025,Newham,989
E09000026,Redbridge,1312
E09000027,Richmond upon Thames,852
E09000028,Southwark,783
E09000029,Sutton,718
E09000030,Tower Hamlets,941
E09000031,Waltham Forest,879
E09000032,Wandsworth,819
E09000033,Westminster,895
E12000001,North East,19987
E12000002,North West,60557
E12000003,Yorkshire and the Humber,47362
E12000004,East Midlands,45407
E12000005,West Midlands,53133
E12000006,East of England,61424
E12000007,London,33480
E12000008,South East,91181
E12000009,South West,54612
E92000001,England,467144
S92000003,Scotland,46407
W92000004,Wales,30713
K03000001,Great Britain,544264